Education_Sector,Entity_Type,School_Number,School_Name,School_Type,School_Status,Address,Address_Town,Address_State,Address_Postcode,Postal Address,Postal_Town,State Code,Postal_Postcode,Phone Number,LGA_ID,LGA_Name,Latitude,Longitude
Government,1,3033,Beaconsfield Primary School,Primary,O,71-77 Old Princes Highway ,Beaconsfield,VIC,3807,P O Box 251,Beaconsfield,VIC,3807,(039) 707-1510,145,Cardinia (S),145.3716379,-38.04862904
Government,1,3050,Metung Primary School,Primary,O,Stirling Road ,Metung,VIC,3904,STIRLING ROAD,Metung,VIC,3904,(035) 156-2259,211,East Gippsland (S),147.852464,-37.882955
Government,1,3053,Newhaven Primary School,Primary,O,12-22 School Avenue ,Newhaven,VIC,3925,12-22 School Avenue,Newhaven,VIC,3925,(035) 956-7326,74,Bass Coast (S),145.356858,-38.513155
Government,1,3058,Halls Gap Primary School,Primary,O,10-14 School Road ,Halls Gap,VIC,3381,P O Box,Halls Gap,VIC,3381,(035) 356-4235,581,Northern Grampians (S),142.51743,-37.137482
Government,1,3067,Tallygaroopna Primary School,Primary,O,24-34 Victoria Street ,Tallygaroopna,VIC,3634,24-34 Victoria Street,Tallygaroopna,VIC,3634,(035) 829-8264,283,Greater Shepparton (C),145.436316,-36.238614
Government,1,3074,Ormond Primary School,Primary,O,Cnr Murray & Wheatley Roads ,Ormond,VIC,3204,P O Box 465,Bentleigh,VIC,3204,(039) 578-1327,231,Glen Eira (C),145.033669,-37.907001
Government,1,3077,Korumburra Primary School,Primary,O,6 - 16 Mine Road ,Korumburra,VIC,3950,Private Bag 1,Korumburra,VIC,3950,(035) 655-1309,617,South Gippsland (S),145.825636,-38.435133
Government,1,3080,Crib Point Primary School,Primary,O,70 Milne Street ,Crib Point,VIC,3919,70 Milne Street,Crib Point,VIC,3919,(035) 983-9282,534,Mornington Peninsula (S),145.200539,-38.360484
Government,1,3081,Pascoe Vale Primary School,Primary,O,362 Gaffney Street ,Pascoe Vale,VIC,3044,362 Gaffney Street,Pascoe Vale,VIC,3044,(039) 354-1611,525,Moreland (C),144.93763,-37.731221
Government,1,3098,Flowerdale Primary School,Primary,O,3377 Whittlesea Yea Road ,Flowerdale,VIC,3717,RMB 6525 Yea Road,Flowerdale,VIC,3717,(035) 780-1264,562,Murrindindi (S),145.291361,-37.316923
Government,1,3100,Ocean Grove Primary School,Primary,O,1 - 23 Draper Street ,Ocean Grove,VIC,3226,1 - 23 Draper Street,Ocean Grove,VIC,3226,(035) 255-1340,275,Greater Geelong (C),144.521852,-38.263993
Government,1,3109,Beulah Primary School,Primary,O,Henty Highway ,Beulah,VIC,3395,Henty Highway,Beulah,VIC,3395,(035) 390-2332,763,Yarriambiack (S),142.418256,-35.944942
Government,1,3110,Merri Creek Primary School,Primary,O,Miller Street ,Fitzroy North,VIC,3068,Miller Street,Fitzroy North,VIC,3068,(039) 481-0177,735,Yarra (C),144.987386,-37.776966
Government,1,3113,Sunshine Primary School,Primary,O,Cnr Hampshire & Derby Roads ,Sunshine,VIC,3020,Cnr Hampshire & Derby Roads,Sunshine,VIC,3020,(038) 311-5700,118,Brimbank (C),144.831101,-37.790881
Government,1,3129,Tyabb Primary School,Primary,O,186 Mornington-Tyabb Road ,Tyabb,VIC,3913,186 Mornington-Tyabb Road,Tyabb,VIC,3913,(035) 977-4584,534,Mornington Peninsula (S),145.166617,-38.260794
Government,1,3139,Wales Street Primary School,Primary,O,Wales Street ,Thornbury,VIC,3071,"Wales Street,",Thornbury,VIC,3071,(039) 484-3949,189,Darebin (C),145.008833,-37.76151
Government,1,3145,Upper Sandy Creek Primary School,Primary,O,1037 Sandy Creek Road ,Sandy Creek,VIC,3695,1037 Sandy Creek Road,Huon,VIC,3695,(026) 071-8526,335,Indigo (S),147.112896,-36.355178
Government,1,3146,Spensley Street Primary School,Primary,O,193 Spensley Street ,Clifton Hill,VIC,3068,193 Spensley Street,Clifton Hill,VIC,3068,(039) 481-4666,735,Yarra (C),145.003879,-37.786794
Government,1,3161,Kew East Primary School,Primary,O,35 Kitchener Street ,Kew East,VIC,3102,35 Kitchener Street,Kew East,VIC,3102,(039) 859-2903,111,Boroondara (C),145.049151,-37.796473
Government,1,3163,Nichols Point Primary School,Primary,O,110 Koorlong Avenue ,Nichols Point,VIC,3501,"110 Koorlong Avenue,",Nichols Point,VIC,3501,(035) 023-1633,478,Mildura (RC),142.204635,-34.2088
Government,1,3174,Irymple Primary School,Primary,O,15th Street ,Irymple,VIC,3498,P O Box 715,Irymple,VIC,3498,(035) 024-5334,478,Mildura (RC),142.15908,-34.226605
Government,1,3179,Brunswick East Primary School,Primary,O,195a Stewart Street ,Brunswick East,VIC,3057,195a Stewart Street,Brunswick East,VIC,3057,(039) 387-3361,525,Moreland (C),144.979403,-37.765104
Government,1,3215,Eagle Point Primary School,Primary,O,43 School Road ,Eagle Point,VIC,3878,43 School Road,Eagle Point,VIC,3878,(035) 156-6382,211,East Gippsland (S),147.680216,-37.892449
Government,1,3216,Yarra Junction Primary School,Primary,O,2370 Warburton Highway ,Yarra Junction,VIC,3797,P O Box 109,Yarra Junction,VIC,3797,(035) 967-1544,745,Yarra Ranges (S),145.6060798,-37.779029
Government,1,3222,Sassafras Primary School,Primary,O,399 Mt Dandenong Tourist Road ,Sassafras,VIC,3787,399 Mt Dandenong Tourist Road,Sassafras,VIC,3787,(039) 755-1203,745,Yarra Ranges (S),145.3552887,-37.86083457
Government,1,3228,Ferny Creek Primary School,Primary,O,School Road ,Ferny Creek,VIC,3786,School Road,Ferny Creek,VIC,3786,(039) 755-1522,745,Yarra Ranges (S),145.3347256,-37.8842124
Government,1,3237,Toolangi Primary School,Primary,O,Main Road ,Toolangi,VIC,3777,Main Road,Toolangi,VIC,3777,(035) 962-9255,562,Murrindindi (S),145.472501,-37.535374
Government,1,3241,Wonga Park Primary School,Primary,O,Dudley Road ,Wonga Park,VIC,3115,Dudley Road,Wonga Park,VIC,3115,(039) 722-1325,421,Manningham (C),145.273999,-37.730641
Government,1,3255,Kinglake West Primary School,Primary,O,1041-1061 Whittlesea-Kinglake Rd ,Kinglake West,VIC,3757,1041-1061Whittlesea-KinglakeRd,Kinglake West,VIC,3757,(035) 786-5262,562,Murrindindi (S),145.259597,-37.481303
Government,1,3261,Perseverance Primary School,Primary,O,Centreway Tankerton,French Island,VIC,3921,C/- Crib Point Primary School,Crib Point,VIC,3919,(035) 980-1292,939,Unincorporated Vic,145.3334052,-38.38337735
Government,1,3265,Monbulk Primary School,Primary,O,1 Main Road ,Monbulk,VIC,3793,P O Box 231,Monbulk,VIC,3793,(039) 756-6481,745,Yarra Ranges (S),145.4102612,-37.87685153
Government,1,3278,Lake Boga Primary School,Primary,O,8 Williams Street ,Lake Boga,VIC,3584,P O Box 137,Lake Boga,VIC,3584,(035) 036-9000,661,Swan Hill (RC),143.63207,-35.464511
Government,1,3279,Chum Creek Primary School,Primary,O,705 Chum Creek Road ,Chum Creek,VIC,3777,705 Chum Creek Road,Chum Creek,VIC,3777,(035) 962-5391,745,Yarra Ranges (S),145.4892499,-37.60595782
Government,1,3284,Mount Dandenong Primary School,Primary,O,Farndons Road ,Mount Dandenong,VIC,3767,P O Box 179,Kalorama,VIC,3766,(039) 751-1136,745,Yarra Ranges (S),145.362166,-37.83074276
Government,1,3301,Nullawil Primary School,Primary,O,Church Street ,Nullawil,VIC,3529,P O Box 41,Nullawil,VIC,3529,(035) 493-5260,127,Buloke (S),143.179119,-35.852732
Government,1,3309,Badger Creek Primary School,Primary,O,Badger Creek Rd ,Healesville,VIC,3777,P O Box 477,Healesville,VIC,3777,(035) 962-4019,745,Yarra Ranges (S),145.5327681,-37.68005402
Government,1,3315,Middle Kinglake Primary School,Primary,O,1 Extons Road ,Kinglake Central,VIC,3757,RSD 1 Extons Road,Kinglake Central,VIC,3757,(035) 786-1295,562,Murrindindi (S),145.315679,-37.505206
Government,1,3322,Point Lonsdale Primary School,Primary,O,22 Bowen Road ,Point Lonsdale,VIC,3225,P O Box 87,Point Lonsdale,VIC,3225,(035) 258-1501,608,Queenscliffe (B),144.621455,-38.274154
Government,1,3323,Kongwak Primary School,Primary,O,1445 Wonthaggi Korumburra Road ,Kongwak,VIC,3951,P O Box 159,Inverloch,VIC,3996,(035) 657-4224,617,South Gippsland (S),145.712865,-38.515106
Government,1,3336,Clarinda Primary School,Primary,O,1166 Centre Road ,Clarinda,VIC,3169,1166 Centre Road,Clarinda,VIC,3169,(039) 544-3231,343,Kingston (C),145.102506,-37.926973
Government,1,3341,Chelsea Heights Primary School,Primary,O,194 Thames Promenade ,Chelsea Heights,VIC,3196,194 Thames Promenade,Chelsea Heights,VIC,3196,(039) 772-4139,343,Kingston (C),145.138991,-38.044683
Government,1,3345,Wallington Primary School,Primary,O,608 - 610 Wallington Road ,Wallington,VIC,3222,610 Wallington Road,Wallington,VIC,3222,(035) 250-1841,275,Greater Geelong (C),144.506509,-38.2178
Government,1,3356,Tecoma Primary School,Primary,O,1536 Burwood Highway ,Tecoma,VIC,3160,1536 Burwood Highway,Tecoma,VIC,3160,(039) 754-2354,745,Yarra Ranges (S),145.3449218,-37.90695837
Government,1,3368,Torquay P-6 College,Primary,O,45-55 Grossmans Road ,Torquay,VIC,3228,45-55 Grossmans Road,Torquay,VIC,3228,(035) 261-2360,649,Surf Coast (S),144.3123081,-38.32176711
Government,1,3372,Noorinbee Primary School,Primary,O,594 Monaro Highway ,Noorinbee,VIC,3890,594 Monaro Hwy,Noorinbee,VIC,3890,(035) 158-6281,211,East Gippsland (S),149.16894,-37.516355
Government,1,3373,Woomelang Group School,Primary,O,4 Roberts Street ,Woomelang,VIC,3485,P O Box 4,Woomelang,VIC,3485,(035) 081-2191,763,Yarriambiack (S),142.667723,-35.681377
Government,1,3381,Emerald Primary School,Primary,O,10 Heroes Avenue ,Emerald,VIC,3782,10 Heroes Avenue,Emerald,VIC,3782,(035) 968-4311,145,Cardinia (S),145.4424276,-37.93338297
Government,1,3385,Carrum Primary School,Primary,O,Walkers Road ,Carrum,VIC,3197,PO Box 156,Seaford,VIC,3198,(039) 772-1117,343,Kingston (C),145.126499,-38.078092
Government,1,3401,Nyora Primary School,Primary,O,Grundy Avenue ,Nyora,VIC,3987,Grundy Avenue,Nyora,VIC,3987,(035) 659-6240,617,South Gippsland (S),145.674891,-38.336244
Government,1,3423,Exford Primary School,Primary,O,1137 Exford Road ,Exford,VIC,3338,R.S.D. Exford Road,Exford,VIC,3338,(039) 743-5025,465,Melton (C),144.558791,-37.745287
Government,1,3426,Ultima Primary School,Primary,O,Cnr Cameron & O'Connor Street ,Ultima,VIC,3544,BOX 76,Ultima,VIC,3544,(035) 039-6101,661,Swan Hill (RC),143.266171,-35.476233
Government,1,3432,Mount Waverley Primary School,Primary,O,37-45 Park Lane ,Mount Waverley,VIC,3149,37 - 45 Park Lane,Mount Waverley,VIC,3149,(039) 807-1480,497,Monash (C),145.124091,-37.880907
Government,1,3433,Marlo Primary School,Primary,O,Jorgensen Street ,Marlo,VIC,3888,P O Box 64,Marlo,VIC,3888,(035) 154-8236,211,East Gippsland (S),148.535038,-37.796269
Government,1,3449,Murrumbeena Primary School,Primary,O,Hobart Road ,Murrumbeena,VIC,3163,Hobart Road,Murrumbeena,VIC,3163,(039) 568-1300,231,Glen Eira (C),145.070409,-37.88617
Government,1,3466,Wesburn Primary School,Primary,O,2850 Warburton Highway ,Wesburn,VIC,3799,P O Box 492,Yarra Junction,VIC,3797,(035) 967-1302,745,Yarra Ranges (S),145.6470677,-37.76869153
Government,1,3470,Koorlong Primary School,Primary,O,3645 Benetook Ave ,Koorlong,VIC,3501,c/- Post Office,Koorlong,VIC,3501,(035) 025-7205,478,Mildura (RC),142.08485,-34.278056
Government,1,3476,Warranwood Primary School,Primary,O,1 Wellington Park Drive ,Warranwood,VIC,3134,1 Wellington Park Drive,Warranwood,VIC,3134,(039) 876-6066,441,Maroondah (C),145.246981,-37.774347
Government,1,3479,Willowmavin Primary School,Primary,O,690 Willowmavin Road ,Willowmavin,VIC,3764,690 Willowmavin Road,Willowmavin,VIC,3764,(035) 782-1319,485,Mitchell (S),144.888229,-37.259424
Government,1,3494,Olinda Primary School,Primary,O,45 Charlemont Lane ,Olinda,VIC,3788,45 Charlemont Lane,Olinda,VIC,3788,(039) 751-1181,745,Yarra Ranges (S),145.3661919,-37.85469614
Government,1,3497,Carlisle River Primary School,Primary,O,49 Moomowroong Road ,Carlisle River,VIC,3239,49 Moomowroong Road,Carlisle River,VIC,3239,(035) 235-0261,175,Colac-Otway (S),143.395026,-38.563929
Government,1,3505,Spring Gully Primary School,Primary,O,104-110 Spring Gully Road ,Bendigo,VIC,3550,P O Box 310,Strathdale,VIC,3550,(035) 443-7230,262,Greater Bendigo (C),144.284363,-36.793403
Government,1,3515,Mallacoota P-12 College,Pri/Sec,O,25 Bucknall Street ,Mallacoota,VIC,3892,Locked Bag 1001,Mallacoota,VIC,3892,(035) 158-0254,211,East Gippsland (S),149.754296,-37.559427
Government,1,3531,Langwarrin Primary School,Primary,O,90 Warrandyte Road ,Langwarrin,VIC,3910,90 Warrandyte Road,Langwarrin,VIC,3910,(039) 789-7346,217,Frankston (C),145.189632,-38.160372
Government,1,3535,Cockatoo Primary School,Primary,O,19-33 Belgrave-Gembrook Road ,Cockatoo,VIC,3781,19 - 33 Belgrave Gembrook Road,Cockatoo,VIC,3781,(035) 968-8017,145,Cardinia (S),145.4962066,-37.93929904
Government,1,3544,Tyabb Railway Station Primary School,Primary,O,88 The Crescent ,Tyabb,VIC,3913,88 The Crescent,Tyabb,VIC,3913,(035) 977-4324,534,Mornington Peninsula (S),145.192835,-38.262148
Government,1,3551,Belgrave South Primary School,Primary,O,175 Colby Drive ,Belgrave South,VIC,3160,175 Colby Drive,Belgrave South,VIC,3160,(039) 754-2505,745,Yarra Ranges (S),145.3579203,-37.93119813
Government,1,3552,Baltara School,Special,O,27 Waratah Street ,Thomastown,VIC,3074,"27 Waratah Street,",Thomastown.,VIC,3074,(039) 465-2405,707,Whittlesea (C),145.0242041,-37.67973726
Government,1,3559,Sydenham - Hillside Primary School,Primary,O,Community Hub ,Sydenham,VIC,3037,Community Hub,Sydenham,VIC,3037,(039) 361-5300,118,Brimbank (C),144.7620961,-37.70218173
Government,1,3572,Canterbury Primary School,Primary,O,Molesworth Street ,Canterbury,VIC,3126,Molesworth Street,Canterbury,VIC,3126,(039) 836-4537,111,Boroondara (C),145.083713,-37.83105953
Government,1,3581,The Lake Primary School,Primary,O,225 Seventeenth Street ,Cabarita,VIC,3505,P O Box 62,Cabarita,VIC,3505,(035) 023-3468,478,Mildura (RC),142.093145,-34.205917
Government,1,3584,Grey Street Primary School (Traralgon),Primary,O,30 - 44 Grey Street ,Traralgon,VIC,3844,P O Box 370,Traralgon,VIC,3844,(035) 174-2055,381,Latrobe (C),146.537121,-38.193048
Government,1,3585,Brunswick North Primary School,Primary,O,Pearson Street ,Brunswick West,VIC,3055,Pearson Street,Brunswick West,VIC,3055,(039) 383-1400,525,Moreland (C),144.950631,-37.759858
Government,1,3590,Fawkner Primary School,Primary,O,Lorne Street ,Fawkner,VIC,3060,P O Box 123,Fawkner,VIC,3060,(039) 357-3579,525,Moreland (C),144.973528,-37.715887
Government,1,3599,Alphington Primary School,Primary,O,Yarralea Street ,Alphington,VIC,3078,Yarralea Street,Alphington,VIC,3078,(039) 499-2200,735,Yarra (C),145.032006,-37.783523
Government,1,3605,Austin Hospital School,Special,O,145 Studley Road ,Heidelberg,VIC,3084,145 Studley Road,Heidelberg,VIC,3084,(039) 496-5324,66,Banyule (C),145.058287,-37.755435
Government,1,3612,Bona Vista Primary School,Primary,O,520 Bona Vista Road ,Bona Vista,VIC,3820,520 Bona Vista Road,Bona Vista,VIC,3820,(035) 627-8435,83,Baw Baw (S),145.95991,-38.210521
Government,1,3613,Banyan Fields Primary School,Primary,O,90 Cadles Road ,Carrum Downs,VIC,3201,P O Box 8844,Carrum Downs,VIC,3201,(039) 782-1333,217,Frankston (C),145.187192,-38.094766
Government,1,3618,Norris Bank Primary School,Primary,O,146 Settlement Road ,Bundoora,VIC,3083,146 Settlement Road,Bundoora,VIC,3083,(039) 467-2206,707,Whittlesea (C),145.0426341,-37.6945118
Government,1,3620,Macclesfield Primary School,Primary,O,405 Macclesfield Road ,Macclesfield,VIC,3782,405 Macclesfield Road,Macclesfield,VIC,3782,(035) 968-4734,745,Yarra Ranges (S),145.4753695,-37.88979216
Government,1,3631,Black Rock Primary School,Primary,O,71 Arkaringa Crescent ,Black Rock,VIC,3193,P O Box 168,Black Rock,VIC,3193,(039) 598-2293,91,Bayside (C),145.021651,-37.969869
Government,1,3642,Mount Evelyn Primary School,Primary,O,33 Monbulk Road ,Mount Evelyn,VIC,3796,P O Box 249,Mount Evelyn,VIC,3796,(039) 736-2233,745,Yarra Ranges (S),145.3888224,-37.79092979
Government,1,3645,Kilsyth Primary School,Primary,O,Durham Road ,Kilsyth,VIC,3137,Durham Road,Kilsyth,VIC,3137,(039) 725-4320,745,Yarra Ranges (S),145.3149427,-37.80210649
Government,1,3650,Wonthaggi Primary School,Primary,O,18 Billson Street ,Wonthaggi,VIC,3995,Private Mail Bag 101,Wonthaggi,VIC,3995,(035) 672-1600,74,Bass Coast (S),145.588636,-38.607947
Government,1,3659,Spotswood Primary School,Primary,O,Melbourne Road ,Spotswood,VIC,3015,P O Box 2135,Spotswood,VIC,3015,(039) 391-1323,311,Hobsons Bay (C),144.881921,-37.830627
Government,1,3664,Clyde Primary School,Primary,O,13 Oroya Grove ,Clyde,VIC,3978,13 Oroya Grove,Clyde,VIC,3978,(035) 998-5293,161,Casey (C),145.326386,-38.132323
Government,1,3675,Noble Park Primary School,Primary,O,65 Buckley Street ,Noble Park,VIC,3174,P O Box 412,Noble Park,VIC,3174,(039) 546-8811,267,Greater Dandenong (C),145.173906,-37.970627
Government,1,3680,Deepdene Primary School,Primary,O,958a Burke Road ,Balwyn,VIC,3103,958a Burke Road,Balwyn,VIC,3103,(039) 817-1917,111,Boroondara (C),145.061285,-37.808475
Government,1,3684,Clifton Creek Primary School,Primary,O,1020 Deptford Road ,Clifton Creek,VIC,3875,1020 Deptford Rd,Clifton Creek,VIC,3875,(035) 157-9251,211,East Gippsland (S),147.659395,-37.70208
Government,1,3686,Kennington Primary School,Primary,O,60 Crook Street ,Kennington,VIC,3550,P O Box 45,Strathdale,VIC,3550,(035) 443-2011,262,Greater Bendigo (C),144.307972,-36.768376
Government,1,3689,Cardinia Primary School,Primary,O,2405 Ballarto Road ,Cardinia,VIC,3978,2405 Ballarto Road,Cardinia,VIC,3978,(035) 998-8323,145,Cardinia (S),145.423852,-38.14572553
Government,1,3696,Grahamvale Primary School,Primary,O,85 Grahamvale Road ,Grahamvale,VIC,3631,85 Grahamvale Road,Grahamvale,VIC,3631,(035) 821-4219,283,Greater Shepparton (C),145.430716,-36.357202
Government,1,3702,Irymple South Primary School,Primary,O,3208 Fifteenth Street ,Irymple,VIC,3498,P O Box 716,Irymple,VIC,3498,(035) 024-5345,478,Mildura (RC),142.190619,-34.252489
Government,1,3703,Glen Huntly Primary School,Primary,O,Grange Road ,Glen Huntly,VIC,3163,P O Box 62,Glen Huntly,VIC,3163,(039) 571-2933,231,Glen Eira (C),145.0462294,-37.89377084
Government,1,3708,Nanneella Estate Primary School,Primary,O,159 Bennett Road ,Nanneella,VIC,3561,159 Bennett Road,Nanneella,VIC,3561,(035) 484-5395,137,Campaspe (S),144.778037,-36.312971
Government,1,3709,Wantirna Primary School,Primary,O,120 Mountain Highway ,Wantirna,VIC,3152,120 Mountain Highway,Wantirna,VIC,3152,(039) 801-1938,367,Knox (C),145.21662,-37.856064
Government,1,3716,Wonthaggi North Primary School,Primary,O,Cnr White & Wentworth Road ,Wonthaggi,VIC,3995,P O Box 106,Wonthaggi,VIC,3995,(035) 672-4697,74,Bass Coast (S),145.600234,-38.59882
Government,1,3717,Melton South Primary School,Primary,O,34 - 46 Exford Road ,Melton South,VIC,3338,P O Box 2043,Melton South,VIC,3338,(039) 743-2922,465,Melton (C),144.574217,-37.708427
Government,1,3729,Chelsea Primary School,Primary,O,34-44 Argyle Ave ,Chelsea,VIC,3196,ARGYLE AVE,Chelsea,VIC,3196,(039) 773-2055,343,Kingston (C),145.122642,-38.0555
Government,1,3738,Nowa Nowa Primary School,Primary,O,Gorge Road ,Nowa Nowa,VIC,3887,Gorge Road,Nowa Nowa,VIC,3887,(035) 155-7225,211,East Gippsland (S),148.092546,-37.72662
Government,1,3754,Hampton Primary School,Primary,O,528 Hampton Street ,Hampton,VIC,3188,PO Box 97,Hampton,VIC,3188,(039) 598-1412,91,Bayside (C),145.003476,-37.93339
Government,1,3774,Victorian College For The Deaf,Special,O,597 St Kilda Road ,Melbourne,VIC,3004,P O Box 6306,"St Kilda Rd Central, Melbourne",VIC,8008,(039) 510-1706,460,Melbourne (C),144.982306,-37.849774
Government,1,3787,Balliang East Primary School,Primary,O,4 School Road ,Balliang East,VIC,3340,4 School Road,Balliang East,VIC,3340,(035) 369-5148,515,Moorabool (S),144.4153538,-37.79497592
Government,1,3790,Edithvale Primary School,Primary,O,Edithvale Road ,Edithvale,VIC,3196,Edithvale Road,Edithvale,VIC,3196,(039) 772-1393,343,Kingston (C),145.11297,-38.037494
Government,1,3805,Orrvale Primary School,Primary,O,300 Channel Road ,Orrvale,VIC,3631,300 Channel Road,Orrvale,VIC,3631,(035) 829-2490,283,Greater Shepparton (C),145.440539,-36.410409
Government,1,3806,Penders Grove Primary School,Primary,O,370 Victoria Road ,Thornbury,VIC,3071,370 Victoria Road,Thornbury,VIC,3071,(039) 484-1076,189,Darebin (C),145.01427,-37.754517
Government,1,3819,Underbool Primary School,Primary,O,67 Cotter Street ,Underbool,VIC,3509,P O Box 43,Underbool,VIC,3509,(035) 094-6342,478,Mildura (RC),141.814054,-35.170573
Government,1,3820,Caulfield Junior College,Primary,O,186 Balaclava Road ,Caulfield North,VIC,3161,186 Balaclava Road,Caulfield North,VIC,3161,(039) 509-6872,231,Glen Eira (C),145.021561,-37.87211
Government,1,3835,Seaford Primary School,Primary,O,Mcrae Street ,Seaford,VIC,3198,McRae Street,Seaford,VIC,3198,(039) 786-1357,217,Frankston (C),145.130496,-38.104436
Government,1,3841,Wattle Park Primary School,Primary,O,225 Warrigal Road ,Burwood,VIC,3125,225 Warrigal Road,Burwood,VIC,3125,(039) 808-2165,698,Whitehorse (C),145.098115,-37.843404
Government,1,3859,Murrabit Group School,Primary,O,61 Browning Avenue ,Murrabit,VIC,3579,P O Box 42,Murrabit,VIC,3579,(035) 457-2284,225,Gannawarra (S),143.950749,-35.528838
Government,1,3885,Preston West Primary School,Primary,O,383 Murray Road ,Preston,VIC,3072,383 MURRAY ROAD,Preston,VIC,3072,(039) 470-1546,189,Darebin (C),144.99553,-37.737366
Government,1,3889,Thornbury Primary School,Primary,O,16-22 Hutton Street ,Thornbury,VIC,3071,16 - 22 Hutton Street,Thornbury,VIC,3071,(039) 484-3254,189,Darebin (C),144.996748,-37.755425
Government,1,3890,Footscray West Primary School,Primary,O,Argyle Street ,West Footscray,VIC,3012,Argyle Street,West Footscray,VIC,3012,(039) 687-1535,433,Maribyrnong (C),144.875221,-37.794938
Government,1,3892,Wandin North Primary School,Primary,O,220 Warburton Highway ,Wandin North,VIC,3139,P O Box 271,Wandin North,VIC,3139,(035) 964-4570,745,Yarra Ranges (S),145.4089739,-37.76955183
Government,1,3897,Gardenvale Primary School,Primary,O,66 Landcox Street ,Brighton East,VIC,3187,66 Landcox Street,Brighton East,VIC,3187,(039) 596-2871,91,Bayside (C),145.015034,-37.904679
Government,1,3899,Beaumaris Primary School,Primary,O,79-99 Dalgetty Road ,Beaumaris,VIC,3193,P O Box 6140,Cromer,VIC,3193,(039) 589-2619,91,Bayside (C),145.037586,-37.985272
Government,1,3907,Currawa Primary School,Primary,O,2 Ridge Road ,Dookie Campus,VIC,3647,2 Ridge Road,Dookie Campus,VIC,3647,(035) 828-6581,283,Greater Shepparton (C),145.7037867,-36.38474876
Government,1,3916,Echuca West Primary School,Primary,O,189 Echuca West School Road ,Echuca,VIC,3564,189 Echuca West School Road,Echuca,VIC,3564,(035) 482-2263,137,Campaspe (S),144.710009,-36.165355
Government,1,3920,Cann River P-12 College,Pri/Sec,O,20-24 Tamboon Road ,Cann River,VIC,3890,20-24 Tamboon,Cann River,VIC,3890,(035) 158-6245,211,East Gippsland (S),149.153022,-37.5697
Government,1,3923,Altona Primary School,Primary,O,109 Blyth Street ,Altona,VIC,3018,P O Box 127,Altona,VIC,3018,(039) 398-2925,311,Hobsons Bay (C),144.822742,-37.867708
Government,1,3924,Devon Meadows Primary School,Primary,O,Worthing Road ,Devon Meadows,VIC,3977,"Worthing Road,",Devon Meadows,VIC,3977,(035) 998-2304,161,Casey (C),145.301456,-38.162318
Government,1,3926,Upper Ferntree Gully Primary School,Primary,O,Talaskia Road ,Upper Ferntree Gully,VIC,3156,P O Box 7030,Upper Ferntree Gully,VIC,3156,(039) 758-1527,367,Knox (C),145.314325,-37.895604
Government,1,3931,Eildon Primary School,Primary,O,45 High Street ,Eildon,VIC,3713,45 High Street,Eildon,VIC,3713,(035) 774-2074,562,Murrindindi (S),145.906761,-37.233967
Government,1,3933,Bittern Primary School,Primary,O,Portsmouth Road ,Bittern,VIC,3918,P O Box 3,Bittern,VIC,3918,(035) 983-9590,534,Mornington Peninsula (S),145.171678,-38.339857
Government,1,3936,Colbinabbin Primary School,Primary,O,56 Mitchell Street ,Colbinabbin,VIC,3559,56 Mitchell Street,Colbinabbin,VIC,3559,(035) 432-9330,137,Campaspe (S),144.801658,-36.589881
Government,1,3937,Stanhope Primary School,Primary,O,Midland Highway ,Stanhope,VIC,3623,P O Box 19,Stanhope,VIC,3623,(035) 857-2514,137,Campaspe (S),144.988016,-36.448102
Government,1,3939,Hurstbridge Primary School,Primary,O,Main Road ,Hurstbridge,VIC,3099,Main Road,Hurstbridge,VIC,3099,(039) 718-2386,571,Nillumbik (S),145.1980792,-37.63616612
Government,1,3941,Coburg West Primary School,Primary,O,Reynard Street ,Coburg,VIC,3058,REYNARD STREET,Coburg,VIC,3058,(039) 386-1286,525,Moreland (C),144.947624,-37.74715
Government,1,3942,Elwood Primary School,Primary,O,Scott Street ,Elwood,VIC,3184,Scott Street,Elwood,VIC,3184,(039) 531-2762,590,Port Phillip (C),144.988364,-37.881505
Government,1,3943,Mont Albert Primary School,Primary,O,Barloa Road ,Mont Albert,VIC,3127,Barloa Road,Mont Albert,VIC,3127,(039) 890-1331,698,Whitehorse (C),145.102727,-37.813079
Government,1,3944,Dhurringile Primary School,Primary,O,605 Langham Road ,Dhurringile,VIC,3610,605 Langham Road,Dhurringile,VIC,3610,(035) 826-6222,283,Greater Shepparton (C),145.239786,-36.543203
Government,1,3947,Strathewen Primary School,Primary,O,5 School Ridge Road ,Strathewen,VIC,3099,5 School Ridge Road,Strathewen,VIC,3099,(039) 714-8278,571,Nillumbik (S),145.269894,-37.547468
Government,1,3956,Don Valley Primary School,Primary,O,Old Dalry Road ,Don Valley,VIC,3139,Old Dalry Road,Don Valley,VIC,3139,(035) 967-3321,745,Yarra Ranges (S),145.5874128,-37.76019989
Government,1,3960,Reservoir Primary School,Primary,O,Duffy Street ,Reservoir,VIC,3073,PO Box 69,Reservoir,VIC,3073,(039) 460-5798,189,Darebin (C),145.00677,-37.71142
Government,1,3967,Yallourn North Primary School,Primary,O,2A Reserve Street ,Yallourn North,VIC,3825,2A Reserve Street,Yallourn North,VIC,3825,(035) 167-1233,381,Latrobe (C),146.362224,-38.163208
